Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
A. MICHELSON & FILHOS LTDA.;R$ 16.034,37;151;Gabriel André Bertram;;97%;
QUIMIDROL COMERCIO INDUSTRIA IMPORTACAO LTDA;R$ 15.960,00;152;Gabriel André Bertram;;83%;
MARCOPOLO S/A;R$ 15.943,92;153;Marcia - Compras;;0%;
DIMENSIONAL BRASIL SOLUCOES LTDA;R$ 15.457,65;154;Gabriel André Bertram;;100%;
FUSOPAR PARAFUSOS LTDA-CXS;R$ 15.224,89;155;Gabriel André Bertram;;45%;
ELEVE TELHAS METALICAS LTDA;R$ 15.100,80;156;Gabriel André Bertram;;0%;
HERTEL PRE-MOLDADOS LTDA;R$ 14.873,60;157;Gabriel André Bertram;;100%;
POLO BLU CONFECCOES LTDA;R$ 14.850,00;158;Gabriel André Bertram;;100%;
SULIFLEX IND E COM DE PLASTICOS LTDA;R$ 14.672,64;159;Gabriel André Bertram;;100%;
DP CABINE ESTENDIDA LTDA;R$ 14.260,00;160;Gabriel André Bertram;;100%;
MB COM. DE PECAS AUTOMOTIVAS LTDA;R$ 14.235,00;161;Marcia - Compras;;100%;
TRENTO SUPRIMENTOS METALURGICOS LTDA;R$ 13.996,60;162;Gabriel André Bertram;;100%;
AUTORIZADA ASSISTENCIA TECNICA E COMERCIO DE PECAS;R$ 13.978,28;163;Leonardo Pereira Falconeli Dos Santos;;98%;
EMPIBLU  COMERCIAL LTDA.;R$ 13.935,00;164;Leonardo Pereira Falconeli Dos Santos;;100%;
PLATA INDUSTRIA METALURGICA LTDA;R$ 13.926,80;165;Marcia - Compras;;60%;
POLISTAR BRASIL IND. E COM. DE PLASTICOS LTDA;R$ 13.725,02;166;Marcia - Compras;;100%;
MERCANTIL RAOLI COM E REP. LTDA;R$ 13.479,26;167;Leonardo Pereira Falconeli Dos Santos;;100%;
AG SOLDAS LTDA;R$ 13.000,00;168;Gabriel André Bertram;;100%;
ONFLEX BR MANGUEIRAS E CONEXOES LTDA;R$ 12.700,19;169;Gabriel André Bertram;;100%;
PRO-LUVAS IND.E COM.PROD.SEGURANCA;R$ 12.590,00;170;Gabriel André Bertram;;67%;
U.T. CABOS INDUSTRIA, COMERCIO E SERVICOS LTDA;R$ 12.518,50;171;Gabriel André Bertram;;92%;
B R L BONES PROMOCIONAIS LTDA;R$ 12.000,00;172;Gabriel André Bertram;;100%;
NATIVA COMERCIO DE MATERIAL PARA ESCRITORIO LTDA;R$ 11.804,90;173;Leonardo Pereira Falconeli Dos Santos;;100%;
HYDRAMASTER AUTOMACAO HIDRAULICA LTDA ME;R$ 11.780,00;174;Gabriel André Bertram;;;
JOCLAMAR LTDA;R$ 11.583,26;175;Leonardo Pereira Falconeli Dos Santos;;100%;
AUGE DO BRASIL LTDA;R$ 11.530,03;176;Gabriel André Bertram;;;
SUL BRINDES ESPECIAIS LTDA;R$ 11.529,00;177;Leonardo Pereira Falconeli Dos Santos;;100%;
ETECNET TECNOLOGIA LTDA;R$ 11.450,00;178;Gibson Ribeiro;;100%;
ARGAPRON INDUSTRIA E COMERCIO LTDA;R$ 11.446,83;179;Leonardo Pereira Falconeli Dos Santos;;100%;
JE MANUTENCAO INDUSTRIAL LTDA;R$ 11.400,00;180;Gabriel André Bertram;;100%;
