Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
GEOSUL COMERCIO DE MATERIAIS TECNICOS PARA CONSTRUCAO CIVIL;R$ 1.140,85;336;Leonardo Pereira Falconeli Dos Santos;;100%;
FHP SISTEMAS HIDRAULICOS E PNEUMATICOS LTDA;R$ 1.140,00;337;Gabriel André Bertram;;100%;
ALVARO ANTONIO CORDEIRO;R$ 1.125,00;338;Leonardo Pereira Falconeli Dos Santos;;100%;
FF INDUSTRIAL LTDA;R$ 1.121,70;339;Gabriel André Bertram;;100%;
CASA DA SOLDA COMERCIO E MANUTENCAO DE MAQUINAS DE SOLDA E CORTE LTDA;R$ 1.116,00;340;Gabriel André Bertram;;0%;
SULFIBRA INDUSTRIA E COMERCIO LTDA;R$ 1.110,52;341;Marcia - Compras;;100%;
CIEMA COMERCIO DE BORRACHA LTDA;R$ 1.100,00;342;Marcia - Compras;;100%;
D. FERRARI & CIA. LTDA. (PETROBRAS);R$ 1.098,70;343;Leonardo Pereira Falconeli Dos Santos;;100%;
GIOVANA QUAIATO 04817358955;R$ 1.085,00;344;Leonardo Pereira Falconeli Dos Santos;;100%;
BETAWORKS COMERCIO DE EQUIPAMENTOS LTDA;R$ 1.060,00;345;Gabriel André Bertram;;100%;
POLINI COMERCIO DE PECAS LTDA;R$ 1.054,00;346;Gabriel André Bertram;;100%;
RENATO DE QUEIROZ E MELO 21703928822;R$ 1.050,00;347;Leonardo Pereira Falconeli Dos Santos;;100%;
SUL DIESEL BOMBAS INJETORAS LTDA.;R$ 1.047,97;348;Leonardo Pereira Falconeli Dos Santos;;100%;
DAY BRASIL S/A;R$ 996,36;349;Marcia - Compras;;100%;
SANSUY S/A INDUSTRIA DE PLASTICOS;R$ 994,15;350;Gibson Ribeiro;;;
WURTH DO BRASIL PECAS DE FIXACAO LTDA;R$ 984,66;351;Gabriel André Bertram;;67%;
METALURGICA FEY LTDA.;R$ 981,20;352;Gabriel André Bertram;;100%;
CENTRO DE TECNOLOGIA ELEMENTS;R$ 979,00;353;Gabriel André Bertram;;0%;
SANTAROL ROLAMENTOS BLUMENAU LTDA;R$ 976,00;354;Gabriel André Bertram;;100%;
LENZI COMERCIO MANGUEIRAS E CONEXOES HIDRAULICAS LTDA;R$ 962,47;355;Gabriel André Bertram;;100%;
L. F. SILVEIRA COMERCIO DE FERRAMENTAS LTDA;R$ 951,56;356;Gabriel André Bertram;;100%;
TORQUE IND. COM. DE EQUIP. HIDRAULICOS PNEUMATICOS LTDA EPP ;R$ 947,00;357;Leonardo Pereira Falconeli Dos Santos;;100%;
CASA DO BORRACHEIRO LTDA;R$ 914,00;358;Gabriel André Bertram;;100%;
KOHLER EMBALAGENS LTDA.;R$ 910,80;359;Marcia - Compras;;100%;
ACESSORIOS SB LTDA.;R$ 908,94;360;Marcia - Compras;;67%;
ELETROMECA METALUR.CASAGRANDE LTDA.;R$ 860,00;361;Marcia - Compras;;;
TAMARA WISENTHEINER KIPFER 07505408933;R$ 850,00;362;Leonardo Pereira Falconeli Dos Santos;;100%;
CONTINENTAL FERRAMENTAS E EQUIPAMENTOS LTDA;R$ 845,90;363;Gabriel André Bertram;;0%;
ORIGINAL INDUSTRIA ELETROELETRONICA LTDA;R$ 750,00;364;Marcia - Compras;;;
PG ELEVACAO DE CARGAS INDUSTRIAIS LTDA;R$ 716,00;365;Gabriel André Bertram;;0%;
IDEAL CARDS SERVICOS LTDA;R$ 715,50;366;Leonardo Pereira Falconeli Dos Santos;;100%;
LED-TUBE SOLUCOES EM ILUMINCACAO;R$ 697,05;367;Gibson Ribeiro;;0%;
SOPKO IND COMERCIO DE LUVAS LTDA;R$ 693,34;368;Gabriel André Bertram;;100%;
CANTOFLEX CANTONEIRAS LTDA;R$ 677,60;369;Marcelo Mattos;;0%;
ACITAL ISOLAMENTOS TERMICOS LTDA;R$ 676,94;370;Gabriel André Bertram;;100%;
FRUTPOP ALIMENTOS LTDA;R$ 654,00;371;Gabriel André Bertram;;0%;
POLISTAMP INDUSTRIA E COMERCIO LTDA;R$ 606,00;372;Gabriel André Bertram;;100%;
RODAN COM. DE PECAS E IMPL DE TRANSP.;R$ 525,00;373;Marcia - Compras;;100%;
RODAN COMERCIO DE PECAS E IMPLEMENTOS DE TRANSPORTES S/A;R$ 525,00;373;Marcia - Compras;;100%;
COMASTEL COM.E ASSIST.EM TELEFONIA;R$ 509,80;375;Leonardo Pereira Falconeli Dos Santos;;100%;
SEYCONEL AUTOMACAO INDUSTRIAL LTDA;R$ 505,08;376;Gabriel André Bertram;;100%;
REFRIGERACAO LENZI LTDA ME;R$ 499,35;377;Gabriel André Bertram;;100%;
LOJAS HARDT LTDA.;R$ 484,00;378;Gabriel André Bertram;;100%;
PEROLA COM DE GLP LTDA - ME;R$ 450,00;379;Leonardo Pereira Falconeli Dos Santos;;100%;
SKINA 1820 INDUSTRIA E COMERCIO LTDA;R$ 449,90;380;Gabriel André Bertram;;100%;
SYMA COMPUTADORES LTDA;R$ 443,61;381;Gibson Ribeiro;;100%;
B.LOTTI MOVIMENTACAO DE CARGAS LTDA;R$ 404,92;382;Leonardo Pereira Falconeli Dos Santos;;100%;
DELL COMPUTADORES DO BRASIL LTDA;R$ 395,17;383;Leonardo Pereira Falconeli Dos Santos;;100%;
CONSTRUCON MATERIAIS DE CONSTRUCAO LTDA;R$ 392,50;384;Leonardo Pereira Falconeli Dos Santos;;100%;
CASA DA MANGUEIRA E CONEXAO LTDA. ME;R$ 358,00;385;Gabriel André Bertram;;100%;
IMATRON IND. MET. ELETRONICA LTDA.;R$ 357,75;386;Marcia - Compras;;100%;
MEGACOMP ATACADO E VAREJO DE COMPONENTES LTDA;R$ 339,20;387;Gibson Ribeiro;;100%;
HAMANN MATERIAIS DE CONSTRUCAO LTDA;R$ 338,14;388;Leonardo Pereira Falconeli Dos Santos;;100%;
BOXTOP DO BRASIL ELEVADORES LTDA;R$ 328,00;389;Gabriel André Bertram;;0%;
 ENGATCAR INDUSTRIA DE AUTO PECAS LTDA. ;R$ 313,21;390;Marcia - Compras;;;
MANFREDO SCHMIDT;R$ 300,00;391;Gabriel André Bertram;;100%;
GIGANTEC COMERCIO ELETRONICO LTDA;R$ 299,00;392;Gibson Ribeiro;;100%;
KRAMBECK INSTALADORA COM. MAT. CONSTR. LTDA;R$ 298,00;393;Gabriel André Bertram;;100%;
HB COM. DE MADEIRAS E FERRAGENS LTDA EPP;R$ 275,00;394;Gabriel André Bertram;;100%;
KIFERRO COM DE FERRO E ACO LTDA;R$ 262,50;395;Marcia - Compras;;100%;
INDUSTRIA DE ARTEFATOS PLASTICOS INDAIAL LTDA;R$ 260,00;396;Leonardo Pereira Falconeli Dos Santos;;100%;
41.815.956 KAREN CRISTINA LOPES;R$ 252,00;397;Leonardo Pereira Falconeli Dos Santos;;100%;
AROLDO RIBEIRO DA SILVA ME;R$ 240,00;398;Gabriel André Bertram;;100%;
POSTO CIDADE LTDA;R$ 230,11;399;Leonardo Pereira Falconeli Dos Santos;;100%;
DOBRE - EIXO PECAS E SERVICOS LTDA;R$ 200,00;400;Gibson Ribeiro;;;
ACONORTE COMERCIO DE FERRO E ACO LT;R$ 193,15;401;Marcia - Compras;;;
QUANTUM NOTES PRODUTOS DE INFORMATICA LTDA;R$ 189,00;402;Leonardo Pereira Falconeli Dos Santos;;100%;
EBERT COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;R$ 179,00;403;Leonardo Pereira Falconeli Dos Santos;;100%;
BLU STAR COMERCIO DE VEICULOS LTDA.;R$ 165,49;404;Leonardo Pereira Falconeli Dos Santos;;100%;
CONSTRUCOLOR COMERCIO DE TINTAS LTDA;R$ 164,75;405;Leonardo Pereira Falconeli Dos Santos;;100%;
DIFERRO ACOS ESPECIAIS LTDA;R$ 156,46;406;Marcia - Compras;;;
BISCOITOS DA DANI LTDA;R$ 156,00;407;Leonardo Pereira Falconeli Dos Santos;;100%;
AUTENTICAR OFICINA MECANICA E AUTO ELETRICA LTDA;R$ 154,00;408;Leonardo Pereira Falconeli Dos Santos;;100%;
EVEL COMERCIO DE AUTOPECAS LTDA EPP;R$ 144,00;409;Gabriel André Bertram;;100%;
CASA DO ESTOFADOR METZKER;R$ 137,70;410;Gibson Ribeiro;;100%;
CLAUDIO COM. PESCA E CAMPING LTDA ME;R$ 131,70;411;Leonardo Pereira Falconeli Dos Santos;;100%;
FRIGORIFICO GESSNER LTDA;R$ 130,00;412;Gabriel André Bertram;;100%;
SS COMERCIAL ELETRICA LTDA;R$ 124,00;413;Gabriel André Bertram;;100%;
VALEFER COMERCIO DE ACOS LTDA;R$ 109,12;414;Marcia - Compras;;0%;
ORION INFORMATICA LTDA.;R$ 105,00;415;Gibson Ribeiro;;100%;
MICHELL PLACAS AUTOMOTIVAS LTDA;R$ 100,00;416;Gabriel André Bertram;;100%;
MECANICA INDUSTRIAL GUARANY LTDA;R$ 95,10;417;Gibson Ribeiro;;100%;
GRAZIELA ZAGARI DA SILVA;R$ 70,00;418;Leonardo Pereira Falconeli Dos Santos;;100%;
ENGETUBOS INDUSTRIAL DE TUBOS LTDA;R$ 53,00;419;Marcia - Compras;;;
BREX - SISTEMA DE FREIOS LTDA;R$ 50,00;420;Marcia - Compras;;;
SCAP-CAR FERNANDES COM.PECAS LTDA.;R$ 40,00;421;Leonardo Pereira Falconeli Dos Santos;;100%;
PB ARTIGOS PARA FESTAS LTDA;R$ 22,96;422;Leonardo Pereira Falconeli Dos Santos;;100%;
MICROCOMP COM.E REP.DE COMP.ELETR.;R$ 2,40;423;Gabriel André Bertram;;100%;
BUCHER HIDRAULICA LTDA.; R$ -   ;424;Gibson Ribeiro;;;
KINGSPAN - ISOESTE CONSTRUTIVOS ISOTERMICOS S/A; R$ -   ;424;Gabriel André Bertram;;;
SAIT ABRASIVOS LTDA.; R$ -   ;424;Gabriel André Bertram;;;
INMES INDUSTRIAL LTDA; R$ -   ;424;Gabriel André Bertram;;;
