Pedido;Data Cadastro;Produto;Descrição Produto;Quantidade Compra;Unidade de Compra;Preço Unit. Compra;Fornecedor;Descrição Fornecedor;Situação Pedido;Previsão Entrega Inicial;Previsão Entrega Atual;Comprador;Nome Comprador;Condição Pagamento;Descrição Condição Pagamento;Data Recebimentos;Máscara de Entrada
59680;04/12/2023;1016;Bobina Al Natural 1,00x1000mm CODIGO CBA: 6172605;13.157,00;KG;22,19;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;19/02/2024;20/02/2024;104;Jonas Linshalm;3;10 DIAS;21/02/2024;1.02.02.01.05.00001
59682;04/12/2023;1016;Bobina Al Natural 1,00x1000mm CODIGO CBA: 6172605;12.551,00;KG;22,19;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;29/02/2024;01/03/2024;104;Jonas Linshalm;3;10 DIAS;04/03/2024;1.02.02.01.05.00001
55028;06/02/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;8.086,00;KG;25,68;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;07/04/2023;24/04/2023;104;Jonas Linshalm;2;7 DIAS;24/04/2023;1.02.02.02.05.00001
56205;02/05/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;8.486,00;KG;24,86;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;28/06/2023;28/06/2023;104;Jonas Linshalm;3;10 DIAS;28/06/2023;1.02.02.02.05.00001
56595;31/05/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;9.348,00;KG;23,91;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;27/07/2023;27/07/2023;104;Jonas Linshalm;3;10 DIAS;28/07/2023;1.02.02.02.05.00001
57123;05/07/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;9.184,00;KG;21,94;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;11/09/2023;12/09/2023;104;Jonas Linshalm;3;10 DIAS;13/09/2023;1.02.02.02.05.00001
58208;05/09/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;12.054,00;KG;22,22;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;16/10/2023;17/10/2023;104;Jonas Linshalm;3;10 DIAS;18/10/2023;1.02.02.02.05.00001
58211;05/09/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;9.946,00;KG;22,46;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;16/11/2023;16/11/2023;104;Jonas Linshalm;3;10 DIAS;20/11/2023;1.02.02.02.05.00001
59677;04/12/2023;1022;Bobina Al Natural 0,90x1460mm CODIGO CBA: 6126568;7.884,00;KG;22,19;21594;COMPANHIA BRASILEIRA DE ALUMINIO;Atendido;07/02/2024;08/02/2024;104;Jonas Linshalm;3;10 DIAS;09/02/2024;1.02.02.02.05.00001
54873;27/01/2023;1030;Bobina #14 Zn 1,95x1000mm;18.000,00;KG;7,51;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/02/2023;13/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;14/02/2023;1.01.02.04.07.00001
