Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
BLUQUIMI INDUSTRIA QUIMICA LTDA.ME; R$ 45.660,00 ;94;Gabriel André Bertram;;100%;
SPRAYPARTS PECAS E SUPRIMENTOS INDUSTRIAIS LTDA; R$ 34.317,90 ;112;Gabriel André Bertram;;100%;
EVOLUCAO COMERCIO DE COMPRESSORES E EQUIPAMENTOS LTDA; R$ 3.966,00 ;264;Gabriel André Bertram;;100%;
MORAES VIDROS LTDA; R$ 36.925,00 ;108;Gabriel André Bertram;;100%;
PG ELEVACAO DE CARGAS INDUSTRIAIS LTDA; R$ 716,00 ;376;Gabriel André Bertram;;0%;
WHITE MARTINS GASES INDUST. LTDA; R$ 76.467,16 ;73;Gabriel André Bertram;;100%;
PROFURGO IND E COM DE ACESSORIOS LTDA; R$ 16.186,00 ;157;Marcia - Compras;;69%;
ACITAL ISOLAMENTOS TERMICOS LTDA; R$ 676,94 ;381;Gabriel André Bertram;;100%;
DAY BRASIL S/A; R$ 996,36 ;360;Marcia - Compras;;100%;
SULIFLEX IND E COM DE PLASTICOS LTDA; R$ 14.672,64 ;167;Gabriel André Bertram;;100%;
CMV CONSTRUCOES MECANICAS LTDA; R$ 76.559,24 ;72;Gabriel André Bertram;;100%;
SOLUCOES EM ACO USIMINAS S A; R$ 182.722,00 ;42;Marcia - Compras;;0%;
SOLUCOES EM ACO USIMINAS S/A; R$ 3.244.328,68 ;4;Marcia - Compras;;65%;
CASA DO BORRACHEIRO LTDA; R$ 914,00 ;369;Gabriel André Bertram;;100%;
QUIMIDROL COMERCIO INDUSTRIA IMPORTACAO LTDA; R$ 15.960,00 ;159;Gabriel André Bertram;;83%;
DIMENSIONAL BRASIL SOLUCOES LTDA; R$ 15.457,65 ;162;Gabriel André Bertram;;100%;
SINALSUL INDUSTRIA DE AUTO PECAS LTDA; R$ 856.965,57 ;15;Marcia - Compras;;76%;
QUALITPLACAS MDF E ACESS. P/ MOVEIS EIRELI; R$ 31.200,00 ;117;Marcia - Compras;;100%;
GRAFICA TIMBO LTDA ME; R$ 2.941,85 ;288;Gabriel André Bertram;;77%;
VALLE PRODUTOS PARA INDUSTRIA LTDA; R$ 3.778,34 ;268;Gabriel André Bertram;;100%;
MAGAZINE LUIZA S/A; R$ 1.169,10 ;345;Leonardo Pereira Falconeli Dos Santos;;100%;
CONTE DISTRIBUIDORA DE ACOS LTDA; R$ 3.698,00 ;271;Marcia - Compras;;;
ROADLINE INDUSTRIA E COMERCIO DE AUTOPECAS LTDA; R$ 36.250,00 ;111;Gibson Ribeiro;;100%;
CPX DISTRIBUIDORA S/A; R$ 116.376,00 ;55;Marcelo Mattos;;50%;
KOHLER EMBALAGENS LTDA.; R$ 910,80 ;370;Marcia - Compras;;100%;
COMASTEL COM.E ASSIST.EM TELEFONIA; R$ 509,80 ;387;Leonardo Pereira Falconeli Dos Santos;;100%;
JULIFER IND E COM LTDA; R$ 5.560,00 ;241;Marcia - Compras;;100%;
CASA DA SOLDA COMERCIO E MANUTENCAO DE MAQUINAS DE SOLDA E CORTE LTDA; R$ 1.116,00 ;351;Gabriel André Bertram;;0%;
VELCRO BRASIL IMP. EXP. E COM. DE SISTEMAS DE FIXACAO; R$ 15.807,75 ;161;Marcia - Compras;;71%;
KESO DO BRASIL SIST. DE SEGURANCA LTDA; R$ 10.385,50 ;196;Marcia - Compras;;100%;
CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA; R$ 22.573,20 ;137;Gibson Ribeiro;;100%;
MAXJATO COM PROD MET SID E ACESSORIOS LTDA-ME; R$ 40.500,00 ;101;Gabriel André Bertram;;0%;
ESTAMPARIA DE METAIS ITIUBA LTDA; R$ 8.826,40 ;210;Marcia - Compras;;;
EVEL COMERCIO DE AUTOPECAS LTDA EPP; R$ 144,00 ;422;Gabriel André Bertram;;100%;
IBERO INDUSTRIA BRASILEIRA DE EQUIP. RODOV. S A; R$ 4.285.457,17 ;2;Gibson Ribeiro;;94%;
CASAFER COMERCIAL IMP. LTDA; R$ 6.080,00 ;238;Gabriel André Bertram;;0%;
CARLOS COSTA PLATAFORMA; R$ 17.920,00 ;152;Gabriel André Bertram;;0%;
AROLDO RIBEIRO DA SILVA ME; R$ 240,00 ;411;Gabriel André Bertram;;100%;
VIDRACARIA PEROLA DO VALE LTDA. ME; R$ 5.664,00 ;239;Gabriel André Bertram;;0%;
SOC.MICHELIN PARTICIP.IND.COM. LTDA; R$ 409.131,75 ;30;Gibson Ribeiro;;73%;
METALURGICA FEY LTDA.; R$ 981,20 ;363;Gabriel André Bertram;;100%;
IDEAL CARDS SERVICOS LTDA; R$ 715,50 ;377;Leonardo Pereira Falconeli Dos Santos;;100%;
FRIGORIFICO GESSNER LTDA; R$ 130,00 ;424;Gabriel André Bertram;;100%;
ACESSORIOS SB LTDA.; R$ 908,94 ;371;Marcia - Compras;;67%;
ENGETUBOS INDUSTRIAL DE TUBOS LTDA; R$ 53,00 ;430;Marcia - Compras;;;
ZF AUTOMOTIVE BRASIL LTDA; R$ 351.363,61 ;32;Marcia - Compras;;92%;
HANSA-FLEX DO BRASIL LTDA.; R$ 1.216,98 ;343;Marcia - Compras;;88%;
TRANSPOTECH PECAS E SERVICOS LTDA; R$ 4.160,00 ;260;Gabriel André Bertram;;100%;
LENZI IMPORTACAO EXPORTACAO E TREINAMENTO LTDA; R$ 41.040,00 ;100;Gabriel André Bertram;;100%;
CIRICO ALUMINIOS LTDA ME; R$ 1.790,00 ;321;Gabriel André Bertram;;100%;
EUGENIO RAULINO KOERICH SA COMERCIO E INDUSTRIA; R$ 1.431,00 ;334;Leonardo Pereira Falconeli Dos Santos;;100%;
SS COMERCIAL ELETRICA LTDA; R$ 124,00 ;425;Gabriel André Bertram;;100%;
LUBSUL EQUIPAMENTOS E ANTIFRICCAO LTDA; R$ 10.148,00 ;198;Gabriel André Bertram;;100%;
POLO-AR COMERCIO DE PECAS E REPRESENTACOES LTDA; R$ 1.495,00 ;333;Gabriel André Bertram;;100%;
FIX IMPLEMENTOS RODOVIARIOS LTDA; R$ 33.132,24 ;114;Gibson Ribeiro;;78%;
ORIGINAL INDUSTRIA ELETROELETRONICA LTDA; R$ 750,00 ;375;Marcia - Compras;;;
BRIDGESTONE DO BRASIL IND E COM LTDA; R$ 169.214,80 ;43;Gibson Ribeiro;;50%;
GRAZIELA ZAGARI DA SILVA; R$ 70,00 ;429;Leonardo Pereira Falconeli Dos Santos;;100%;
HYPERMIG SOLUTIONS LTDA; R$ 9.802,00 ;202;Gabriel André Bertram;;86%;
WIFER COMERCIO E REPRESENTACOES LTD; R$ 2.420,00 ;307;Gabriel André Bertram;;100%;
VNF MAQUINAS E SOLUCOES INDUSTRIAIS LTDA; R$ 23.500,00 ;135;Gabriel André Bertram;;;
BLUPREV SEGURANCA DO TRABLHO LTDA ME; R$ 44.090,00 ;98;Gabriel André Bertram;;50%;
ODAIR JOSE SOARES ASALIM 00146879929; R$ 3.180,00 ;283;Gabriel André Bertram;;100%;
TERRAPLANAGEM TRANSP.ITOUPAVA LTDA; R$ 527.117,53 ;25;Gabriel André Bertram;;100%;
HOPUS SERVICOS LTDA; R$ 4.734,00 ;249;Gabriel André Bertram;;60%;
LOJAS HARDT LTDA.; R$ 484,00 ;390;Gabriel André Bertram;;100%;
TORQUE IND. COM. DE EQUIP. HIDRAULICOS PNEUMATICOS LTDA EPP ; R$ 947,00 ;368;Leonardo Pereira Falconeli Dos Santos;;100%;
METALURGICA CECHINATO LTDA; R$ 805.246,80 ;17;Marcia - Compras;;71%;
PERFILLINE COMPONENTES METALICOS LTDA ; R$ 157.260,95 ;45;Marcia - Compras;;100%;
ROEDER INDUSTRIA E COMERCIO DE MADEIRAS LTDA; R$ 4.350,00 ;255;Gabriel André Bertram;;100%;
ECKISIL FREIOS SISTEMAS AUTOMOTIVOS LTDA; R$ 225.500,00 ;39;Marcia - Compras;;100%;
CLAUDIO COM. PESCA E CAMPING LTDA ME; R$ 356,40 ;399;Leonardo Pereira Falconeli Dos Santos;;100%;
MICROCOMP COM.E REP.DE COMP.ELETR.; R$ 2,40 ;435;Gabriel André Bertram;;100%;
BOXTOP DO BRASIL ELEVADORES LTDA; R$ 328,00 ;402;Gabriel André Bertram;;0%;
ELBER INDUSTRIA DE REFRIGERACAO LTDA; R$ 37.406,00 ;106;Marcia - Compras;;100%;
POLISTAR BRASIL IND. E COM. DE PLASTICOS LTDA; R$ 13.725,02 ;175;Marcia - Compras;;100%;
CONCRERIO ARTEFATOS DE CIMENTO LTDA ME; R$ 7.256,10 ;223;Leonardo Pereira Falconeli Dos Santos;;100%;
HENNINGS VEDACOES HIDRAULICAS LTDA; R$ 2.126,34 ;313;Marcia - Compras;;100%;
DAHER ACO INDUSTRIAL LTDA.; R$ 634.623,89 ;22;Gabriel André Bertram;;100%;
INDUSTRIA E COMERCIO DE ARTEFATOS DE CIMENTO YNDIARA LTDA; R$ 29.858,40 ;119;Leonardo Pereira Falconeli Dos Santos;;100%;
SG DISTRIBUIDORA DE FERRAMENTAS EIRELI; R$ 1.600,00 ;327;Gabriel André Bertram;;100%;
KIFERRO COM DE FERRO E ACO LTDA; R$ 262,50 ;408;Marcia - Compras;;100%;
CANTOFLEX CANTONEIRAS LTDA; R$ 677,60 ;380;Marcelo Mattos;;0%;
TIMPTRADE COMERCIAL IMPORTADORA E EXPORTADORA LTDA; R$ 365.872,23 ;31;Marcelo Mattos;;93%;
ZSG INDUSTRIA PLASTICA E METAL MECANICA LTDA; R$ 186.000,00 ;41;Marcia - Compras;;100%;
REDUPAR LTDA; R$ 6.888,00 ;229;Marcia - Compras;;100%;
A4 DISTRIBUIDORA LTDA; R$ 3.522,72 ;276;Gabriel André Bertram;;83%;
BEL - EXPORT LTDA; R$ 1.170,94 ;344;Gabriel André Bertram;;100%;
VK INDUSTRIA DE MOLAS E GRAMPOS LTDA; R$ 629.192,88 ;23;Marcia - Compras;;100%;
DIORANA INDUSTRIA DE ARTEFATOS DE MADEIRA LTDA EPP; R$ 24.850,00 ;130;Marcia - Compras;;82%;
CERAMICA LORENZETTI LTDA; R$ 10.281,60 ;197;Leonardo Pereira Falconeli Dos Santos;;100%;
METALURGICA SPILLERE LTDA; R$ 693.800,00 ;21;Marcia - Compras;;79%;
BSM ARTEFATOS DE CIMENTO LTDA; R$ 11.026,00 ;191;Leonardo Pereira Falconeli Dos Santos;;100%;
MICHELL PLACAS AUTOMOTIVAS LTDA; R$ 100,00 ;427;Gabriel André Bertram;;100%;
METALICA ESTRUTURA E PLANEJAMENTO LTDA; R$ 34.179,61 ;113;Marcia - Compras;;0%;
A.T.I.BRASIL; R$ 4.171,49 ;259;Gabriel André Bertram;;100%;
BONDMANN QUIMICA LTDA; R$ 3.500,00 ;277;Gabriel André Bertram;;100%;
CREATIVE COPIAS LTDA; R$ 3.575,00 ;275;Leonardo Pereira Falconeli Dos Santos;;100%;
PRE-FABRICAR CONSTRUCOES LTDA; R$ 2.401.696,19 ;6;Gabriel André Bertram;;100%;
SEVEGA COPIAS E PLOTAGENS LTDA ME; R$ 2.204,32 ;311;Gabriel André Bertram;;0%;
HB COM. DE MADEIRAS E FERRAGENS LTDA EPP; R$ 275,00 ;407;Gabriel André Bertram;;100%;
HENT DISTRIBUIDORA LTDA; R$ 19.800,00 ;149;Gabriel André Bertram;;100%;
GRSUL COMPONENTES AUTOMOTIVOS LTDA EPP; R$ 28.044,00 ;123;Marcia - Compras;;80%;
PLATA INDUSTRIA METALURGICA LTDA; R$ 13.926,80 ;174;Marcia - Compras;;60%;
PC COZINHAS - INDUSTRIA DE ACESSORIOS LTDA; R$ 240.885,00 ;37;Marcia - Compras;;0%;
POMER USINAGEM LTDA; R$ 6.560,00 ;232;Marcia - Compras;;100%;
KL PRODUTOS DE SEGURANCA LTDA; R$ 6.960,00 ;227;Gabriel André Bertram;;100%;
SUL-CORTE IMPORTADORA DE FERRAMENTAS LTDA; R$ 1.291,60 ;340;Gabriel André Bertram;;;
41.815.956 KAREN CRISTINA LOPES; R$ 252,00 ;410;Leonardo Pereira Falconeli Dos Santos;;100%;
ABC DA SOLDA LTDA; R$ 2.470,00 ;304;Gabriel André Bertram;;50%;
DILEUSA MARTINS DE OLIVEIRA DE SOUSA LIMITADA; R$ 73.743,68 ;76;Marcia - Compras;;100%;
ALVARO ANTONIO CORDEIRO; R$ 1.125,00 ;349;Leonardo Pereira Falconeli Dos Santos;;100%;
ALTO TORQUE INDUSTRIA COMERCIO E ASSISTENCIA TECNICA LTDA; R$ 3.671,00 ;272;Gabriel André Bertram;;0%;
FRUTPOP ALIMENTOS LTDA; R$ 654,00 ;382;Gabriel André Bertram;;0%;
JE MANUTENCAO INDUSTRIAL LTDA; R$ 11.400,00 ;188;Gabriel André Bertram;;100%;
DVA-VEICULOS S/A.; R$ 16.784,00 ;155;Gibson Ribeiro;;100%;
 ENGATCAR INDUSTRIA DE AUTO PECAS LTDA. ; R$ 313,21 ;403;Marcia - Compras;;;
JB INDUSTRIA DE PRODUTOS PLASTICOS LTDA; R$ 1.925,00 ;319;Marcia - Compras;;0%;
CONTEC INDUSTRIA E COMERCIO LTDA.; R$ 6.974,00 ;226;Marcia - Compras;;100%;
KONGSBERG AUTOMOTIVE LTDA; R$ 58.122,90 ;84;Marcia - Compras;;100%;
RENATO DE QUEIROZ E MELO 21703928822; R$ 1.050,00 ;358;Leonardo Pereira Falconeli Dos Santos;;100%;
GOODYEAR DO BRASIL PROD.DE BORR.LTD; R$ 102.080,06 ;62;Gibson Ribeiro;;100%;
FLEXIVEL INDUSTRIA E COMERCIO LTDA; R$ 28.005,00 ;124;Marcia - Compras;;40%;
M. L. FAZAN ETIQUETAS & BRINDES; R$ 36.615,00 ;110;Marcia - Compras;;33%;
SKINA 1820 INDUSTRIA E COMERCIO LTDA; R$ 449,90 ;392;Gabriel André Bertram;;100%;
POLIMERTEC IND COM DE BORRACHA LTDA; R$ 3.773,00 ;269;Marcia - Compras;;;
FERCOI S/A; R$ 337.130,00 ;33;Marcia - Compras;;100%;
LECHLER DO BRASIL S/A; R$ 46.138,98 ;93;Jonas Linshalm;;100%;
SEYCONEL AUTOMACAO INDUSTRIAL LTDA; R$ 505,08 ;388;Gabriel André Bertram;;100%;
CASA DO ESTOFADOR METZKER; R$ 529,22 ;384;Gibson Ribeiro;;100%;
B R L BONES PROMOCIONAIS LTDA; R$ 12.000,00 ;181;Gabriel André Bertram;;100%;
POLO BLU CONFECCOES LTDA; R$ 14.850,00 ;166;Gabriel André Bertram;;100%;
IBRAP INDUSTRIA BRASILEIRA DE ALUMINIO E PLASTICOS SA; R$ 85.614,28 ;68;Marcia - Compras;;;
AUGE DO BRASIL LTDA; R$ 11.530,03 ;185;Gabriel André Bertram;;;
TORMAC SERVICOS DE USINAGENS LTDA; R$ 2.494,00 ;302;Gabriel André Bertram;;;
GAS PONTO COM DISTRIBUIDORA DE GAS S.A.; R$ 20.444,42 ;144;Leonardo Pereira Falconeli Dos Santos;;100%;
CAFETTI IMPORTADORA LTDA; R$ 21.500,00 ;140;Gabriel André Bertram;;100%;
VIGRAF IND GRAFICA LTDA EPP; R$ 3.970,00 ;263;Gibson Ribeiro;;0%;
PEDREIRA OURO PRETO LTDA.; R$ 234.872,11 ;38;Gabriel André Bertram;;100%;
BAZAM PICHAU INFORMATICA LTDA - PICHAU JVLLE; R$ 2.114,09 ;315;Gibson Ribeiro;;63%;
ORION INFORMATICA LTDA.; R$ 105,00 ;426;Gibson Ribeiro;;100%;
GARMISCH TEXTIL LTDA; R$ 6.234,00 ;236;Gabriel André Bertram;;100%;
KABUM COMERCIO ELETRONICO S.A.; R$ 7.411,73 ;221;Gibson Ribeiro;;75%;
MECANICA INDUSTRIAL GUARANY LTDA; R$ 95,10 ;428;Gibson Ribeiro;;100%;
MANFREDO SCHMIDT; R$ 300,00 ;404;Gabriel André Bertram;;100%;
QUANTUM NOTES PRODUTOS DE INFORMATICA LTDA; R$ 189,00 ;415;Leonardo Pereira Falconeli Dos Santos;;100%;
JOAO L. CAVALCANTI; R$ 3.398,00 ;280;Gibson Ribeiro;;100%;
HAL AUTOMATION LTDA; R$ 1.710,00 ;324;Gabriel André Bertram;;0%;
NFM INFORMATICA E ELETRONICOS LTDA; R$ 6.803,80 ;231;Gibson Ribeiro;;100%;
FIMACOM COMERCIO DE COMPENSADOS LTDA; R$ 8.480,00 ;211;Gabriel André Bertram;;100%;
LAURENTINO COMERCIO DE MADEIRAS LTDA; R$ 44.650,00 ;96;Gabriel André Bertram;;100%;
TUBOS TIGRE-ADS DO BRASIL LIMITADA; R$ 115.796,14 ;56;Gabriel André Bertram;;100%;
MTN SOLUCOES INDUSTRIAIS LTDA.; R$ 24.570,00 ;131;Marcia - Compras;;100%;
RODAN COM. DE PECAS E IMPL DE TRANSP.; R$ 525,00 ;385;Marcia - Compras;;100%;
RODAN COMERCIO DE PECAS E IMPLEMENTOS DE TRANSPORTES S/A; R$ 525,00 ;385;Marcia - Compras;;100%;
SYMA COMPUTADORES LTDA; R$ 443,61 ;393;Gibson Ribeiro;;100%;
CENTRO DE TECNOLOGIA ELEMENTS; R$ 979,00 ;364;Gabriel André Bertram;;0%;
GIGANTEC COMERCIO ELETRONICO LTDA; R$ 299,00 ;405;Gibson Ribeiro;;100%;
INGRAM MICRO BRASIL LTDA; R$ 1.505,00 ;332;Gibson Ribeiro;;100%;
BETAWORKS COMERCIO DE EQUIPAMENTOS LTDA; R$ 1.060,00 ;356;Gabriel André Bertram;;100%;
DP CABINE ESTENDIDA LTDA; R$ 14.260,00 ;169;Gabriel André Bertram;;100%;
ETECNET TECNOLOGIA LTDA; R$ 11.450,00 ;186;Gibson Ribeiro;;100%;
INDUSTRIA DE ARTEFATOS PLASTICOS INDAIAL LTDA; R$ 260,00 ;409;Leonardo Pereira Falconeli Dos Santos;;100%;
KEYENCE BRASIL COMERCIO DE PRODUTOS ELETRONICOS LTDA.; R$ 8.258,73 ;212;Gabriel André Bertram;;100%;
MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA; R$ 19.882,80 ;147;Leonardo Pereira Falconeli Dos Santos;;100%;
GEOSUL COMERCIO DE MATERIAIS TECNICOS PARA CONSTRUCAO CIVIL; R$ 1.140,85 ;347;Leonardo Pereira Falconeli Dos Santos;;100%;
LED-TUBE SOLUCOES EM ILUMINCACAO; R$ 697,05 ;378;Gibson Ribeiro;;0%;
MHG COMERCIO E MANUTENCAO INDUSTRIAL LTDA; R$ 36.900,00 ;109;Gabriel André Bertram;;;
HAMANN MATERIAIS DE CONSTRUCAO LTDA; R$ 338,14 ;401;Leonardo Pereira Falconeli Dos Santos;;100%;
SANTAROL ROLAMENTOS BLUMENAU LTDA; R$ 976,00 ;365;Gabriel André Bertram;;100%;
TELE RADIO BRASIL SISTEMAS DE CONTROLE REMOTO LTDA; R$ 9.016,40 ;209;Marcia - Compras;;0%;
TAMARA WISENTHEINER KIPFER 07505408933; R$ 850,00 ;373;Leonardo Pereira Falconeli Dos Santos;;100%;
GRUPO GONCALVES DIAS S/A; R$ 7.607,02 ;219;Marcia - Compras;;100%;
DELL COMPUTADORES DO BRASIL LTDA; R$ 395,17 ;395;Leonardo Pereira Falconeli Dos Santos;;100%;
POLISTAMP INDUSTRIA E COMERCIO LTDA; R$ 606,00 ;383;Gabriel André Bertram;;100%;
HYDRAMASTER AUTOMACAO HIDRAULICA LTDA ME; R$ 11.780,00 ;183;Gabriel André Bertram;;;
KOCH HIPERMERCADO SA; R$ 4.251,00 ;257;Leonardo Pereira Falconeli Dos Santos;;100%;
TRANSVALD TRANSPORTES E COMERCIO LTDA; R$ 6.400,00 ;233;Gabriel André Bertram;;100%;
HERTEL PRE-MOLDADOS LTDA; R$ 14.873,60 ;165;Gabriel André Bertram;;100%;
CAMARGO DISTRIBUIDORA DE PRODUTOS QUIMICOS; R$ 3.125,76 ;284;Leonardo Pereira Falconeli Dos Santos;;100%;
PROMO ECCO INDUSTRIA E COMERCIO LTDA; R$ 2.035,00 ;318;Leonardo Pereira Falconeli Dos Santos;;100%;
ADR BRASIL EIXOS LTDA; R$ 1.265.500,00 ;11;Gibson Ribeiro;;;
ELEVE TELHAS METALICAS LTDA; R$ 15.100,80 ;164;Gabriel André Bertram;;0%;
SANSUY S/A INDUSTRIA DE PLASTICOS; R$ 994,15 ;361;Gibson Ribeiro;;;
SOLUCOES EM ACO USIMINAS S.A; R$ 156.716,00 ;46;Marcia - Compras;;;
DOBRE - EIXO PECAS E SERVICOS LTDA; R$ 200,00 ;413;Gibson Ribeiro;;;
DISK GRAMA COMERCIAL LTDA; R$ 3.212,10 ;282;Leonardo Pereira Falconeli Dos Santos;;100%;
BREX - SISTEMA DE FREIOS LTDA; R$ 50,00 ;431;Marcia - Compras;;;
VALEFER COMERCIO DE ACOS LTDA; R$ 4.618,24 ;252;Marcia - Compras;;0%;
LOS ACO COMERCIAL LTDA; R$ 79.800,00 ;70;Gibson Ribeiro;;;
BUCHER HIDRAULICA LTDA.; R$ 121.320,00 ;53;Gibson Ribeiro;;;
SAIT ABRASIVOS LTDA.; R$ 1.420,00 ;335;Gabriel André Bertram;;;
KINGSPAN - ISOESTE CONSTRUTIVOS ISOTERMICOS S/A; R$ 23.790,16 ;134;Gabriel André Bertram;;;
INMES INDUSTRIAL LTDA; R$ 141,76 ;423;Gabriel André Bertram;;;
0;;;;;;
